"","industry","theta","convergence","n.obs","theta_k"
"1","11",0.884532220224491,0,1138,0.109547733301145
"2","21",0.710400230205079,0,16055,0.266542630848384
"3","22",0.788824027809987,0,1303,0.1688163481901
"4","23",0.916787861098645,0,4052,0.0459898772916246
"5","31",0.888055140854224,0,14885,0.114625005263527
"6","32",0.851775998163485,0,33898,0.111850370494872
"7","33",0.856542158125983,0,80767,0.111697538274692
"8","42",0.881510406633086,0,11019,0.0872640977704315
"9","44",0.82151722331744,0,8503,0.143982242875867
"10","45",0.869433603516102,0,7177,0.0981579484782727
"11","48",0.812686170535179,0,5908,0.144914054862771
"12","49",0.895323428713278,0,437,0.0759023505840486
"13","51",0.850626418484612,0,25479,0.12670006929916
"14","52",0.860017093263444,0,5464,0.129802857253992
"15","53",0.869585185810094,0,5006,0.101320764206751
"16","54",0.82708929818138,0,11765,0.14631459232972
"17","56",0.881268118564472,0,5814,0.10151683956673
"18","61",0.837271055411794,0,1322,0.141987091627599
"19","62",0.868983271205397,0,4300,0.0857598223868493
"20","71",0.89617721883419,0,1874,0.0624291890408164
"21","72",0.81253880324631,0,6247,0.166295438425998
"22","81",0.87315972384858,0,1407,0.0884566144731747
"23","99",0.884084899523425,0,3033,0.0949602466217528
