"","year","unemp"
"1",1948,3.8
"2",1949,6.1
"3",1950,5.2
"4",1951,3.3
"5",1952,3
"6",1953,2.9
"7",1954,5.6
"8",1955,4.4
"9",1956,4.1
"10",1957,4.3
"11",1958,6.8
"12",1959,5.5
"13",1960,5.5
"14",1961,6.7
"15",1962,5.6
"16",1963,5.6
"17",1964,5.2
"18",1965,4.5
"19",1966,3.8
"20",1967,3.8
"21",1968,3.6
"22",1969,3.5
"23",1970,5
"24",1971,6
"25",1972,5.6
"26",1973,4.9
"27",1974,5.6
"28",1975,8.5
"29",1976,7.7
"30",1977,7.1
"31",1978,6.1
"32",1979,5.9
"33",1980,7.2
"34",1981,7.6
"35",1982,9.7
"36",1983,9.6
"37",1984,7.5
"38",1985,7.2
"39",1986,7
"40",1987,6.2
"41",1988,5.5
"42",1989,5.3
"43",1990,5.6
"44",1991,6.9
"45",1992,7.5
"46",1993,6.9
"47",1994,6.1
"48",1995,5.6
"49",1996,5.4
"50",1997,4.9
"51",1998,4.5
"52",1999,4.2
"53",2000,4
"54",2001,4.7
"55",2002,5.8
"56",2003,6
"57",2004,5.5
"58",2005,5.1
"59",2006,4.6
"60",2007,4.6
"61",2008,5.8
"62",2009,9.3
"63",2010,9.6
"64",2011,8.9
"65",2012,8.1
"66",2013,7.4
"67",2014,6.2
"68",2015,5.3
"69",2016,4.9
"70",2017,4.4
"71",2018,3.9
"72",2019,3.7
"73",2020,8.1
"74",2021,5.4
"75",2022,3.6
"76",2023,3.6
"77",2024,NA
